Location,Time,PM2.5,PM10,CO,CO2,SO2,NO2,O3,AQI,AQI Bucket
Hadapsar,08:00,146.9529989,356.1754693,10.771083,323.0804852,55.58175092,133.1521421,150.1679572,431.7862422,Hazardous
Deccan,08:00,111.6045489,203.7738397,10.4839493,401.3263843,186.118353,285.3063692,305.6739614,556.7224855,Hazardous
Hadapsar,20:00,154.935592,313.8636725,12.02686993,306.8251214,293.3330921,76.16543302,207.7544193,535.0529744,Hazardous
Aundh,08:00,116.1052695,293.1978735,10.79956771,319.2621017,191.5216319,77.47545012,127.9252141,413.9122872,Hazardous
Sinhagad Road,20:00,39.42556768,147.8855154,14.46826081,331.3318531,50.33428833,204.3473745,365.0085962,417.9689319,Hazardous
Pimple Saudagar,16:00,214.4233057,64.83684804,10.88243597,400.3228781,16.00083244,306.3296793,186.2336126,404.794575,Hazardous
Koregaon Park,12:00,203.9951565,134.9309256,14.23504414,446.7123783,332.9828045,352.7393872,260.886984,657.002673,Hazardous
Kothrud,08:00,55.14215042,81.59717297,13.26449167,459.1278806,293.6905912,207.2672643,27.0748169,345.6504895,Hazardous
Shivaji Nagar,12:00,106.0363081,164.8736067,14.01289628,382.2539527,153.1675965,338.3945848,329.7293346,560.1136117,Hazardous
Sinhagad Road,12:00,11.30647254,382.0601632,10.97909346,369.9327733,81.76143118,75.68766371,199.6389371,386.2064273,Hazardous
Koregaon Park,08:00,193.9390229,122.7033456,11.60397225,453.7716991,87.06778659,220.5115238,353.4239864,500.4268049,Hazardous
Pimple Saudagar,16:00,248.2537918,86.45002835,12.61896817,484.1373365,394.5960987,287.3267286,166.602581,604.2335824,Hazardous
Kothrud,12:00,133.4250139,163.0537667,12.04191351,446.076882,368.6271581,397.8026467,93.63066181,590.311537,Hazardous
Hadapsar,08:00,194.9293813,353.6335718,14.82918102,337.6983119,167.9264906,310.3254549,157.6066966,607.0399787,Hazardous
Pimple Saudagar,16:00,169.177548,336.0961136,11.66733086,423.6241726,171.7417026,159.2343717,50.58911902,455.0867583,Hazardous
Hadapsar,16:00,11.09451944,191.246399,14.51363839,308.823032,98.50924559,35.28152152,77.90133441,221.5301484,Very Unhealthy
Pimple Saudagar,12:00,55.56976894,43.26471037,14.33737864,443.9032121,263.5445826,178.9129854,61.36945566,315.6681301,Hazardous
Pimple Saudagar,08:00,155.586204,372.8302644,12.87597439,407.0858611,205.1119693,247.4724877,21.49356028,514.1232172,Hazardous
Shivaji Nagar,16:00,117.3899543,24.19081949,12.48591816,475.3404027,236.3095965,260.0821514,72.65996207,367.8021601,Hazardous
Deccan,20:00,212.3698329,311.8455351,13.32169183,490.1372057,219.8276766,372.943174,83.4794838,613.554543,Hazardous
Koregaon Park,16:00,58.4079269,43.50132591,11.35618448,377.9803096,261.8415281,209.2818401,283.7712794,439.7581347,Hazardous
Deccan,20:00,192.8395452,141.2083435,10.34977166,388.3699958,384.5237679,81.27430709,238.1124187,529.3289628,Hazardous
Hadapsar,12:00,38.44980147,341.3023292,14.59056877,356.1644178,173.5639512,261.0043115,297.4001074,570.4508192,Hazardous
Shivaji Nagar,12:00,122.0779459,181.3332799,14.07913945,397.052052,363.8700565,280.2130257,181.6699958,578.6612913,Hazardous
Shivaji Nagar,12:00,62.95438356,163.4322939,13.5062668,394.4941233,177.6367364,351.1311355,23.86051408,403.0137985,Hazardous
Deccan,16:00,85.39303359,239.2688064,11.85824598,443.0166021,109.5296906,275.1155165,185.0249517,459.0242453,Hazardous
Pimple Saudagar,16:00,129.0953993,210.9213559,11.2498388,405.401614,197.5588908,61.0447247,246.2241622,433.6721053,Hazardous
Pimple Saudagar,08:00,188.1233227,108.67965,12.73999743,381.4324086,257.4946766,13.61923661,268.6140716,431.0054762,Hazardous
Aundh,16:00,111.8363248,159.0940606,13.94066783,365.8631743,252.0233295,181.9769223,252.3229022,492.5674375,Hazardous
Kothrud,08:00,238.9653519,56.891689,11.56125542,301.0498929,254.1966002,25.96573032,236.6836329,417.9127576,Hazardous
Sinhagad Road,12:00,122.5394355,311.5341746,12.09104802,402.1664632,185.1820735,166.449876,202.7713855,506.3295205,Hazardous
Aundh,12:00,87.53526825,194.2848128,10.34050096,373.712189,336.9425461,374.5687782,271.9682339,642.9903206,Hazardous
Baner,16:00,138.2450637,151.017128,10.62461569,496.9207033,352.5501881,136.8989915,328.0241492,563.9923759,Hazardous
Deccan,08:00,74.25295578,96.83560475,13.49784898,490.3816867,111.0916046,375.3940428,318.1740854,501.3719956,Hazardous
Hadapsar,08:00,113.2689959,159.7807305,12.14972834,339.0343042,43.90290254,331.1140652,394.60208,533.4841154,Hazardous
Hadapsar,20:00,23.3213329,341.8567692,13.92108837,344.6981452,119.3737542,349.5497958,311.0133117,586.4785703,Hazardous
Shivaji Nagar,08:00,179.8111851,108.5828087,13.79670423,362.3054722,53.79212535,52.46731055,203.6752826,312.9610603,Hazardous
Koregaon Park,20:00,83.1348271,373.4746196,11.41464695,476.2703417,10.27021925,113.2958688,161.5315024,382.2681655,Hazardous
Pimple Saudagar,20:00,121.6063052,293.9772441,10.37969546,446.2585393,147.2159902,136.9470001,381.8720351,551.1889828,Hazardous
Shivaji Nagar,16:00,62.83709652,175.7866156,13.34698129,390.7055762,199.8350088,390.5946741,294.8209229,575.2841403,Hazardous
Koregaon Park,16:00,62.45746009,143.300384,14.36275411,448.0684028,109.9740572,18.10321418,230.5586142,296.559619,Very Unhealthy
Shivaji Nagar,08:00,169.42144,16.60701909,10.01566733,491.4696595,382.1114697,307.812426,211.0217364,553.5027129,Hazardous
Aundh,08:00,179.4573668,338.4724334,14.92335888,451.2044494,27.29044393,158.8454759,290.4634389,512.1879383,Hazardous
Deccan,08:00,127.5777771,328.5381644,14.66078557,329.1924938,93.60939281,81.56482997,266.4102573,463.5109963,Hazardous
Kothrud,20:00,235.0417036,117.2116795,13.59116479,438.2622803,309.2164489,294.2362788,341.7261078,662.3072741,Hazardous
Baner,12:00,117.7741165,170.0593635,13.96771198,499.8193808,84.0666935,68.36673889,317.7768071,392.9895717,Hazardous
Kothrud,16:00,35.4737585,340.4928812,13.50070617,425.6895897,33.43930223,390.1835156,384.0255645,605.3082172,Hazardous
Sinhagad Road,20:00,121.9267482,300.5955457,11.84336978,409.5285793,376.2956973,336.2813305,326.91515,742.8506056,Hazardous
Hadapsar,08:00,207.8813048,70.53245724,11.50294309,470.1878945,40.1401536,186.6836363,46.08158081,287.1625095,Very Unhealthy
Pimple Saudagar,16:00,65.99050441,90.37054321,13.20100334,462.3929858,123.59082,11.34387591,384.7825071,351.2401287,Hazardous
Pimple Saudagar,12:00,109.3500832,347.9915253,12.58811608,449.6008352,65.00171287,114.9768477,62.26889888,362.3826501,Hazardous
Sinhagad Road,12:00,245.3144996,156.8796527,14.02644242,405.9874174,275.8753547,190.4175211,310.4279836,603.4839483,Hazardous
Pimple Saudagar,08:00,31.08374643,80.1720456,13.70959921,416.1998799,251.4267704,184.1083831,384.1713564,479.1907502,Hazardous
Koregaon Park,20:00,27.22868553,20.15360778,12.56933531,432.2310704,21.47771508,140.8395184,203.6470499,219.2426237,Very Unhealthy
Baner,20:00,145.7233077,166.395757,12.90653379,498.8447528,218.1712134,387.2583659,58.47465438,500.918183,Hazardous
Hadapsar,12:00,215.7651719,149.5397911,13.3226663,385.7107337,63.79311968,133.7475059,241.2786467,415.3847839,Hazardous
Sinhagad Road,12:00,84.05449508,29.63199692,14.00554849,323.7989796,311.773881,148.9831594,326.7169799,464.5858047,Hazardous
Pimple Saudagar,16:00,20.62058772,74.22772659,10.64651243,396.9739493,307.0289874,169.841101,293.9012934,443.4563605,Hazardous
Sinhagad Road,16:00,236.0188343,32.55826029,10.2123487,434.5355267,335.0933511,130.8985475,197.0801111,476.0369008,Hazardous
Koregaon Park,12:00,232.2459754,34.23679013,10.2764284,470.0013535,290.2609211,92.23814239,353.7919999,511.6633429,Hazardous
Hadapsar,12:00,113.0689853,35.40701468,10.14622807,496.4827587,194.5748124,262.1091293,259.219244,442.3358209,Hazardous
Kothrud,12:00,44.08136947,235.5736044,11.33978733,464.3846212,275.8919453,268.6829068,125.1464475,486.0279241,Hazardous
Shivaji Nagar,12:00,206.769761,112.6364121,13.49440561,423.3434332,38.32298229,126.607356,283.1522148,397.2387687,Hazardous
Koregaon Park,20:00,134.8025041,117.0506332,11.89265326,426.7953088,85.87322232,127.9630119,44.33997086,266.9073245,Very Unhealthy
Hadapsar,16:00,206.1843138,76.11023815,14.82171297,347.2237078,325.8229739,355.3912436,383.2824264,688.2173109,Hazardous
Koregaon Park,20:00,245.6935772,213.6808667,13.55036501,343.3129673,135.4999868,235.2270381,240.1361207,548.6691598,Hazardous
Shivaji Nagar,20:00,120.4038791,313.8514325,13.24365547,354.5831338,391.5887261,219.1924732,288.2135355,679.8686787,Hazardous
Aundh,16:00,206.9758364,63.88006787,12.85940304,469.8949167,373.1845995,396.0353128,151.3663335,608.580478,Hazardous
Shivaji Nagar,12:00,16.54578779,64.40779052,14.84565428,409.4885025,45.49704607,302.2686252,68.71635481,263.5634565,Very Unhealthy
Baner,08:00,229.2279739,271.7135212,13.93180677,460.0498132,249.0363302,183.7077172,49.32016815,505.434662,Hazardous
Shivaji Nagar,20:00,62.52193368,273.1341678,11.62246876,307.3594255,222.3058458,27.78407717,68.06060389,338.5257829,Hazardous
Kothrud,08:00,11.19375085,59.12105963,13.35213947,396.3778726,282.1324719,360.7849764,185.4010829,462.6688103,Hazardous
Sinhagad Road,20:00,203.1638661,161.5193327,10.29428189,397.6795198,35.4129362,210.5654184,132.3883105,381.8192138,Hazardous
Deccan,16:00,171.1669434,111.0819582,14.0658753,485.5002203,158.4511717,215.4801748,41.28616899,362.7990839,Hazardous
Shivaji Nagar,20:00,227.5494432,44.66177334,11.22684715,438.7235778,148.443527,398.88398,395.4149412,618.7036795,Hazardous
Deccan,08:00,212.8664412,50.04378472,10.0075593,360.0280724,178.4155516,65.79524463,60.25310215,293.6946215,Very Unhealthy
Deccan,08:00,60.00227708,178.9324696,10.10719831,470.787629,234.1184786,352.0741641,273.0552703,559.1985281,Hazardous
Kothrud,16:00,69.37395838,34.34018715,10.82915334,366.774123,299.4911919,76.33506714,174.7819909,337.9903511,Hazardous
Shivaji Nagar,16:00,236.1465628,369.2638589,12.01917345,304.2764278,141.6092354,28.97881113,131.6458952,465.8413552,Hazardous
Deccan,16:00,177.4043886,392.7964496,14.48382654,321.1726879,86.96402763,363.0745093,165.622085,607.4145567,Hazardous
Shivaji Nagar,16:00,203.8712172,148.0536575,13.67426688,307.2859991,141.9136603,328.3547934,41.24488108,445.3933717,Hazardous
Sinhagad Road,20:00,73.10321331,107.9537639,11.97106968,403.6800821,93.49623094,369.7049033,157.3750075,412.7876292,Hazardous
Kothrud,08:00,104.5797874,60.51422129,13.96146782,373.1888913,338.8695726,309.4981351,303.1788476,572.2817498,Hazardous
Koregaon Park,20:00,68.42893948,364.2010053,11.74988712,495.3290578,268.7746027,139.3919621,39.84475921,452.0705215,Hazardous
Deccan,20:00,41.46808686,187.6245602,11.10400107,372.1236919,361.9500909,193.7723634,302.4329069,554.7280052,Hazardous
Kothrud,08:00,67.78169814,249.6170465,13.51299466,303.1960884,238.7158953,30.63616737,83.36480727,348.5708019,Hazardous
Baner,16:00,222.0814826,44.1383796,13.37311531,308.5990928,98.80169451,384.3141136,27.2100755,401.6459882,Hazardous
Aundh,12:00,123.4978174,128.79753,13.50438902,303.8438524,148.9000196,88.63935413,391.6675649,454.255532,Hazardous
Hadapsar,12:00,192.087146,280.0682411,13.57545911,327.8031055,297.5771813,395.0087227,183.0181085,687.4551589,Hazardous
Baner,08:00,205.053446,134.1356032,13.25788729,462.4767324,24.7627308,111.7696948,116.2752291,309.2562392,Hazardous
Kothrud,16:00,41.10720514,143.9098696,13.14515948,439.76566,301.6477944,207.5524303,95.7430364,408.1253274,Hazardous
Hadapsar,12:00,116.5989726,167.0850727,10.99010357,336.5360722,284.7914608,172.2391841,206.0519081,484.3734028,Hazardous
Deccan,16:00,126.3398547,259.9309855,12.0023362,409.8371559,108.0261937,105.3379533,314.3946726,469.0171662,Hazardous
Koregaon Park,08:00,132.5368729,76.17765263,10.36049455,410.4379793,367.2285986,218.6775451,166.7754337,491.058546,Hazardous
Shivaji Nagar,20:00,24.9139118,94.29533954,13.86214545,465.4201575,51.76765019,233.1782265,215.493277,323.686348,Hazardous
Sinhagad Road,12:00,123.9639886,41.29037061,12.23076253,353.8874777,320.7384865,107.0113423,390.102121,503.783917,Hazardous
Sinhagad Road,08:00,106.1080176,391.8453642,14.68191275,400.9786481,198.0829115,37.91995407,15.00299839,389.1615356,Hazardous
Aundh,12:00,58.25801307,236.9054072,10.70714218,479.7426314,243.6076203,356.3885083,52.24997272,484.411903,Hazardous
Pimple Saudagar,08:00,31.02979258,59.47752546,10.32468801,460.9397124,250.4680488,263.8542337,187.3825398,406.4307582,Hazardous
Hadapsar,12:00,163.1341086,342.8361718,14.22847677,465.7898495,178.3289195,36.49310624,374.7804613,562.0148605,Hazardous
Shivaji Nagar,20:00,205.9271949,373.9937628,12.00666333,340.834196,302.6330823,321.118288,309.9834868,768.8345707,Hazardous
Sinhagad Road,12:00,49.53764972,289.2126729,13.8194094,365.5442769,279.5247861,305.1363587,256.60729,603.8287881,Hazardous
Aundh,12:00,96.37305452,82.2732896,11.16231896,411.0121935,219.6958305,175.559345,274.1692883,435.1977229,Hazardous
Shivaji Nagar,08:00,29.06858691,139.7026166,10.66787409,375.0087633,337.8172376,73.57811702,61.6116014,331.5569539,Hazardous
Pimple Saudagar,16:00,15.15713128,256.8650938,14.98113801,406.4513569,235.547887,167.9760012,308.7231131,507.1157512,Hazardous
Kothrud,20:00,231.0145348,44.12747361,14.68853989,314.6818155,348.0379128,305.341309,98.10866973,528.0034899,Hazardous
Hadapsar,16:00,212.8958721,53.57006005,14.48765368,468.967045,261.2608577,184.3974258,52.58531954,396.8424213,Hazardous
Baner,08:00,63.89898044,51.62261189,12.68842853,430.7705194,205.2473124,60.74565256,165.3972123,286.1443133,Very Unhealthy
Koregaon Park,16:00,128.4236757,104.906343,12.77166203,436.8488817,367.900085,320.0010174,66.63411642,506.7042808,Hazardous
Koregaon Park,08:00,62.67482899,170.9558541,10.70257721,402.8942977,135.4144359,370.5112865,258.6459791,509.8037695,Hazardous
Sinhagad Road,16:00,49.49431234,133.8698204,14.74150737,337.090545,174.0079485,149.3629466,155.1616471,345.6898448,Hazardous
Sinhagad Road,20:00,55.43278205,65.21693524,14.07583768,383.9544686,64.68025419,258.3982059,317.7383247,394.8090887,Hazardous
Kothrud,16:00,74.95355599,34.52778178,13.99033761,486.1900568,15.6947714,277.8455709,142.4596098,286.7309826,Very Unhealthy
Baner,16:00,32.98602529,293.6185785,11.56076034,315.5865838,276.8691462,320.0387112,292.452976,619.543479,Hazardous
Pimple Saudagar,16:00,113.829837,85.28869277,14.93520897,471.4778285,272.651859,385.3632426,257.5993453,572.3016973,Hazardous
Shivaji Nagar,16:00,238.526992,39.05822066,13.6071827,399.7300269,106.8816653,314.6638058,189.5148943,457.9299718,Hazardous
Koregaon Park,08:00,98.0715374,155.6613804,13.68925151,387.9613153,42.59814189,209.5872785,264.4025205,398.8496808,Hazardous
Baner,08:00,129.6857211,288.6508172,14.81688938,338.3213046,42.62186894,209.7739851,83.84031237,392.1032417,Hazardous
Aundh,08:00,37.1357232,296.1507611,11.10675363,320.3755584,167.1775882,83.86348455,96.53731402,351.5391891,Hazardous
Hadapsar,16:00,17.08838434,23.52041037,14.99764104,425.0787258,269.3768695,172.467582,67.63993183,290.04423,Very Unhealthy
Koregaon Park,20:00,235.6715459,243.0527861,10.76117286,322.8557859,337.4132257,13.63670066,27.54414165,439.4203729,Hazardous
Kothrud,16:00,168.7349855,12.22829207,14.62459619,311.1204145,156.3372525,208.8856568,286.4999428,430.9676611,Hazardous
Koregaon Park,16:00,31.04235485,45.60879825,10.57857,397.594151,44.40859987,377.828528,291.6132468,405.8293339,Hazardous
Koregaon Park,12:00,164.9199307,376.2979528,12.0216241,436.1931054,45.70405333,360.1016523,65.63753434,518.3521858,Hazardous
Kothrud,12:00,211.3317458,144.3448258,12.46983749,319.7239054,195.6885116,182.2490763,114.226318,436.3900762,Hazardous
Baner,12:00,181.1059636,246.7621718,13.30571321,463.6754842,35.32830983,157.6899148,356.4006403,501.9492133,Hazardous
Sinhagad Road,08:00,118.9489292,226.3213933,12.77513547,460.4887307,227.519822,165.1309644,40.98704676,402.2292133,Hazardous
Hadapsar,12:00,23.92097967,101.244527,13.19486124,363.140655,174.6912696,313.1766805,354.1466018,496.7848906,Hazardous
Koregaon Park,08:00,231.5366819,248.5355941,11.12890428,436.3075006,362.0635905,339.4120551,378.4386834,791.1222068,Hazardous
Deccan,16:00,100.5455227,170.4176212,10.7574016,437.5581221,129.8489202,49.68922607,34.38088879,253.1984911,Very Unhealthy
Aundh,20:00,202.4174395,249.060375,14.06650975,444.1692625,176.2564725,159.1771756,330.4453574,572.7449198,Hazardous
Deccan,08:00,175.4392892,177.0744741,13.95361958,450.539643,226.4466858,239.0552441,180.4955741,513.2092533,Hazardous
Koregaon Park,12:00,110.8050814,98.22538291,13.54370618,471.4486512,167.8995978,321.0045562,192.8241087,458.9230697,Hazardous
Baner,08:00,163.0704629,75.2618333,10.33475722,396.7237193,116.6947992,22.72433802,255.2024478,326.8116978,Hazardous
Aundh,16:00,234.1865592,344.9639784,10.10146835,424.1153514,299.8978307,270.3945457,136.7545876,653.2002191,Hazardous
Pimple Saudagar,12:00,32.77985914,163.7607253,12.67432103,322.6806573,76.38138545,69.25602583,344.6608459,356.0937418,Hazardous
Baner,20:00,208.9286747,322.6788747,10.89169755,481.6562748,95.90370277,186.3285588,108.683924,472.1535651,Hazardous
Koregaon Park,20:00,205.7357449,41.50910494,11.86020369,339.042118,267.6411129,125.9422149,164.9160756,414.7323304,Hazardous
Aundh,20:00,175.7753456,113.3711532,11.56727315,340.8303498,201.6656464,72.08651222,365.0998392,475.5665214,Hazardous
Kothrud,16:00,173.6174711,39.46756907,10.01578855,464.5656472,97.1787597,179.0700388,391.2336364,450.2995261,Hazardous
Deccan,12:00,60.42729355,154.6978846,13.42925946,315.652065,153.0466951,180.0734981,398.2129085,486.6583994,Hazardous
Sinhagad Road,20:00,82.91952415,130.7431579,13.20335599,385.4456611,196.9921448,264.1817168,227.446866,464.3450608,Hazardous
Kothrud,08:00,88.46662359,86.37956751,10.53177794,475.9564495,169.8670269,85.06634181,81.21940639,266.031261,Very Unhealthy
Deccan,16:00,95.50419145,329.090484,14.28010047,441.2114989,78.71113474,32.29112757,30.16418009,297.1606594,Very Unhealthy
Baner,16:00,129.6408902,359.4635223,10.60130091,403.8731025,158.2009443,19.99522895,115.4049143,401.9540509,Hazardous
Shivaji Nagar,20:00,82.95835189,28.04415518,12.92771645,364.1574603,48.48348827,259.323762,189.1548437,316.910017,Hazardous
Sinhagad Road,12:00,83.02238901,219.538374,14.03860512,460.1046679,87.02287569,120.9068494,176.9080615,357.7378799,Hazardous
Shivaji Nagar,08:00,10.98613721,132.9760584,11.10731024,392.1536714,65.64670667,77.93205854,165.0087795,237.3821804,Very Unhealthy
Shivaji Nagar,08:00,225.387584,328.5804035,10.42511867,392.4262107,277.6300833,269.210137,362.3751689,742.016807,Hazardous
Baner,20:00,231.8362022,13.17160871,10.12899932,473.9974489,351.7750685,117.6283032,104.721809,419.6954951,Hazardous
Baner,20:00,108.9621492,45.22895704,14.29376237,421.8994645,263.1847678,91.49633678,203.5941696,370.5269526,Hazardous
Deccan,20:00,22.27181982,254.4308207,11.50225338,368.6362233,60.04472702,355.7269844,128.1942786,421.8365686,Hazardous
Deccan,12:00,223.5480133,95.06600321,14.87651257,427.295282,236.4557378,148.4706516,329.5083047,531.4008679,Hazardous
Sinhagad Road,16:00,233.9853171,399.7293953,13.4796886,480.6521072,94.17960696,211.7803448,159.4302681,563.0321547,Hazardous
Hadapsar,08:00,20.60954195,323.5150181,14.6326466,443.0157789,243.2660483,93.66878673,181.6953952,446.0100418,Hazardous
Aundh,12:00,29.2703443,248.6330836,14.17758541,442.0805167,42.57275118,374.4873461,329.7709645,526.5448303,Hazardous
Shivaji Nagar,08:00,119.7104839,319.7082756,10.24093699,340.0594173,363.4186104,222.4515122,185.5410082,615.6558821,Hazardous
Koregaon Park,16:00,73.31493411,232.1771349,12.77352865,358.5070623,111.6719265,297.7490532,38.79946102,389.6297835,Hazardous
Pimple Saudagar,16:00,244.9922157,61.63071898,12.86554739,402.631412,294.1674701,231.1392632,33.59263215,445.6266975,Hazardous
Hadapsar,08:00,247.1824869,298.014611,10.31702599,353.2418393,154.0483484,222.037759,39.70738969,490.8123235,Hazardous
Baner,20:00,158.9225895,387.9220348,10.25263062,384.8329662,271.6603068,298.9052274,274.2609485,706.0881842,Hazardous
Aundh,08:00,148.7437444,140.465913,12.06847732,493.9921807,379.2516991,365.0999696,153.9324845,605.8153826,Hazardous
Sinhagad Road,08:00,98.17199363,115.143011,12.46538491,390.2533707,181.3300393,180.2467941,379.2248863,489.5237471,Hazardous
Kothrud,20:00,227.4930048,377.8613181,11.61592098,357.9475674,117.1454191,217.4718539,29.86185136,496.5326447,Hazardous
Shivaji Nagar,08:00,154.7126919,135.9034052,10.29018186,455.2938073,353.9929156,65.8042953,383.2731141,557.1333929,Hazardous
Kothrud,16:00,87.28696428,238.6225159,12.54536771,491.8323872,125.5381135,190.4457615,155.7635521,411.3738213,Hazardous
Sinhagad Road,12:00,130.8932631,209.6463092,13.24837013,373.7559605,49.98158998,204.5420919,390.28229,505.9211423,Hazardous
Shivaji Nagar,08:00,133.4181185,106.7698434,11.41758614,485.4380979,101.5771365,229.8765594,182.6589934,388.5679117,Hazardous
Sinhagad Road,16:00,151.6739214,263.1088206,13.57478036,375.9415494,294.3703751,138.1074226,68.61599409,471.5130473,Hazardous
Aundh,16:00,55.0315463,270.5054855,14.26267918,432.4368369,201.0270636,190.3544951,205.3658456,475.4048973,Hazardous
Hadapsar,08:00,95.59148202,364.5719198,14.18774747,403.0401197,394.4285231,213.0564817,89.05944038,592.541671,Hazardous
Hadapsar,16:00,118.5201489,372.8007732,10.04974089,355.0593211,250.0484105,75.50116338,182.5402887,509.7551332,Hazardous
Pimple Saudagar,08:00,189.87598,310.2854718,11.06079156,339.4738115,33.95026979,140.3790796,89.76584521,393.1891148,Hazardous
Sinhagad Road,20:00,145.8289208,196.5174376,11.6641526,471.9488293,125.5497732,241.5296693,331.0592091,531.9066576,Hazardous
Sinhagad Road,12:00,58.97026535,323.2562345,11.85260335,342.198785,297.1626042,258.0483424,332.8254081,646.9840306,Hazardous
Baner,16:00,226.8596501,166.1931107,10.00126228,453.8979663,277.0427701,60.85495868,106.3053093,428.6291618,Hazardous
Aundh,08:00,92.07319052,213.8952915,13.55083731,443.9312197,349.1677649,373.148068,136.8554421,596.1207158,Hazardous
Hadapsar,12:00,159.1388025,380.2365527,11.1905748,377.2358108,306.3587576,211.0538969,63.07398874,571.121574,Hazardous
Koregaon Park,16:00,176.6766249,186.0948727,14.29522916,390.1995962,353.4087386,247.703213,60.01814076,526.2460242,Hazardous
Shivaji Nagar,12:00,54.3506252,267.7155792,11.44181354,400.471195,370.1048598,62.47677928,291.8784037,534.7049371,Hazardous
Hadapsar,12:00,41.27307806,351.9472709,14.54182792,462.8552327,288.7933401,98.35420343,141.8340293,475.6427888,Hazardous
Hadapsar,20:00,72.68238679,26.6997603,12.43060013,418.1073216,55.80147658,137.2341896,241.6356831,279.4573483,Very Unhealthy
Pimple Saudagar,08:00,177.4620231,104.4968599,14.42640343,403.3474584,186.6169001,173.5589885,289.0826671,480.0351228,Hazardous
Deccan,20:00,128.2024233,316.0215345,10.19511735,371.9866616,73.65417446,196.3922871,139.5459572,437.1033056,Hazardous
Deccan,16:00,52.34545438,376.9300349,13.33483485,408.5897715,347.8550445,228.070281,321.6874775,676.778981,Hazardous
Kothrud,20:00,116.6279245,361.9787149,14.12903608,491.5458396,62.98956754,169.8853382,127.9184953,433.8290563,Hazardous
Koregaon Park,16:00,168.6846212,154.6071034,13.41079446,433.4562231,285.3995608,369.8640682,320.0854548,662.7311987,Hazardous
Shivaji Nagar,16:00,52.86141556,375.4230249,11.1729078,493.884978,240.0993957,35.75223409,202.7416384,464.6117621,Hazardous
Sinhagad Road,08:00,31.3109318,57.18245023,10.48599955,418.9762998,126.3524515,248.9603014,22.43302517,253.6055796,Very Unhealthy
Kothrud,08:00,10.15970863,384.8022946,14.53195595,438.0798995,127.4903394,224.059942,374.6976429,575.1369197,Hazardous
Shivaji Nagar,20:00,153.5486429,257.6797165,11.41964214,494.5722344,55.32460483,359.0804673,70.88973245,459.6812241,Hazardous
Hadapsar,20:00,141.4035682,371.8639806,11.36192321,317.7466456,37.73928542,26.14170329,226.5541062,413.213245,Hazardous
